postcode,easting,northing,price
EH4 6EY,319715.0,675104.0,325200
EH5 3EW,325203.0,676548.0,480000
EH6 5QU,326045.0,675843.0,246000
EH6 4LR,325398.0,676757.0,330000
EH15 2RR,331630.0,672147.0,305500
EH14 2AE,321030.0,671229.0,245000
EH8 7QF,329083.0,673536.0,185000
EH1 3LY,325982.0,674468.0,280000
EH12 7BX,320927.0,672056.0,230000
EH12 8EE,319043.0,673293.0,430000
EH30 9QU,312675.0,678088.0,519995
EH5 3FA,325107.0,676801.0,700000
EH12 7QB,319572.0,672191.0,258555
EH11 2LQ,323535.0,672604.0,259000
EH17 8GR,329548.0,668244.0,265000
EH4 6EL,318912.0,675019.0,202000
EH2 2LE,325293.0,674001.0,485000
EH14 2AE,321030.0,671229.0,345000
EH8 7AE,328209.0,674139.0,165000
EH11 3JW,321409.0,671606.0,180000
EH4 6EH,318764.0,675098.0,271000
EH16 5SH,328099.0,670331.0,220000
EH4 3BA,324095.0,673960.0,225000
EH6 4HH,325981.0,676727.0,393000
EH10 5EZ,324296.0,671308.0,1405
EH6 8QH,326941.0,675314.0,218000
EH11 2BN,324149.0,673094.0,249500
EH16 4FG,328655.0,671753.0,178600
EH11 4QH,319876.0,670503.0,193000
EH8 7RP,329250.0,673385.0,165000
EH10 6TY,324962.0,668524.0,525000
EH12 5HD,323812.0,673198.0,390000
EH16 4LA,329894.0,671677.0,200000
EH10 4BQ,324689.0,671632.0,888000
EH14 1PY,322460.0,671229.0,192600
EH10 5HN,324477.0,671096.0,295000
EH4 6BL,318253.0,675248.0,415000
EH6 4QR,325577.0,676315.0,280000
EH6 7JG,327642.0,676035.0,312000
EH11 1ET,323743.0,672294.0,187695
EH10 5AB,324268.0,671908.0,555000
EH6 8PN,326883.0,675291.0,138000
EH8 8AB,326226.0,673699.0,195800
EH8 7SF,329425.0,673918.0,395000
EH12 7BP,320816.0,672055.0,207000
EH10 6TY,324962.0,668524.0,901000
EH10 6TY,324962.0,668524.0,901000
EH12 6HF,322721.0,673859.0,1590
EH12 8XW,318951.0,674018.0,290000
EH7 5UQ,327551.0,674511.0,185000
EH12 7BP,320816.0,672055.0,207000
EH10 5AB,324268.0,671908.0,555000
EH17 8GA,327893.0,667373.0,338000
EH14 5XA,317256.0,667698.0,262523
EH16 4XB,329861.0,670760.0,177000
EH11 4FP,319917.0,670947.0,277500
EH3 9HH,325166.0,672947.0,830000
EH17 8TT,327585.0,667286.0,190000
EH15 2RH,331721.0,672851.0,247000
EH6 5QU,326045.0,675843.0,247500
EH4 6RB,318412.0,676242.0,310000
EH12 7EB,320563.0,672020.0,260036
EH17 8RB,329078.0,668495.0,215000
EH10 4EZ,324891.0,672106.0,1100
EH7 4LW,326063.0,675709.0,215000
EH11 3DB,321345.0,672033.0,181888
EH16 4BB,328825.0,671900.0,125000
EH12 5LA,323844.0,673235.0,380000
EH17 8RB,329078.0,668495.0,147500
EH15 2RR,331630.0,672147.0,215000
EH9 1QB,326272.0,672356.0,205158
EH3 6AS,324470.0,674028.0,735000
EH15 2QE,330979.0,673511.0,328000
EH9 3ED,326571.0,671263.0,371500
EH6 5LA,326929.0,675957.0,190750
EH11 4NB,319040.0,670190.0,125000
EH7 4GB,325620.0,675485.0,320000
EH11 2JG,323545.0,672555.0,245500
EH11 2BS,324087.0,673072.0,410000
EH7 5AH,326554.0,674365.0,350000
EH10 4QB,324403.0,671323.0,223438
EH3 5LU,325069.0,675527.0,440000
EH12 7QA,319663.0,672277.0,270000
EH21 6SG,333167.0,672332.0,380000
EH4 4AH,322372.0,675701.0,207500
EH6 8QE,326995.0,675418.0,180000
EH15 1PG,330164.0,672882.0,607500
EH12 6HL,322484.0,673271.0,297500
EH17 8PD,328739.0,667977.0,295000
EH30 9JB,313162.0,677898.0,225000
EH8 7SS,329422.0,673838.0,291174
EH6 5RF,326329.0,675791.0,182000
EH13 9HQ,323610.0,669189.0,100000
EH10 6AS,324458.0,670354.0,1035
EH12 9EE,318660.0,672052.0,220000
EH12 8UL,318699.0,673288.0,237000
EH14 5AT,317231.0,667515.0,320500
EH6 8SA,326661.0,675256.0,260000
EH8 9TT,326118.0,673376.0,268000
EH12 0DE,317282.0,673388.0,469995
EH3 9HX,325033.0,673042.0,370000
EH4 8GJ,318135.0,674464.0,599995
EH6 6BP,326681.0,677020.0,215000
EH9 1QU,326415.0,672307.0,225000
EH11 2LT,323396.0,672596.0,230250
EH6 8AQ,327516.0,675657.0,205500
EH10 6QX,324088.0,668744.0,609550
EH14 5AU,317255.0,667569.0,257000
EH13 9BU,323019.0,668774.0,299500
EH10 4FA,324951.0,671578.0,630000
EH12 9GJ,319361.0,672040.0,210000
EH16 6DN,327490.0,669935.0,190000
EH5 1DZ,323507.0,676676.0,130000
EH4 3PR,320901.0,674758.0,1150
EH7 4LJ,325896.0,675716.0,155000
EH14 1XS,322854.0,671030.0,230000
EH6 6LP,325700.0,677550.0,279000
EH17 8UR,328773.0,668091.0,190000
EH5 1QS,322887.0,677195.0,164000
EH7 6FD,327484.0,675015.0,235000
EH14 1HZ,322294.0,670408.0,610550
EH7 5YL,326988.0,674774.0,206000
EH6 6HS,326451.0,676660.0,150000
EH9 1TL,325585.0,672107.0,285000
EH5 1BF,321881.0,676621.0,185000
EH12 8YN,318533.0,674445.0,112500
EH4 2SS,322089.0,675055.0,214000
EH4 1EL,324011.0,674675.0,282500
EH11 1TG,323214.0,672298.0,170000
EH5 3EX,324940.0,676480.0,243000
