postcode,price,easting,northing
SW4 0NG,675000,528812.0,175706.0
SW18 5EE,507500,525206.0,173815.0
SW18 4PY,578000,525732.0,172997.0
SE14 5XE,202000,535629.0,177627.0
SE10 9GE,360000,537750.0,177861.0
SE16 7DX,470000,535496.0,179558.0
SW14 8QR,381000,520659.0,175403.0
SE14 6NY,500000,536740.0,176690.0
SW16 1DL,405000,530286.0,172421.0
SE10 9FQ,405000,537750.0,177861.0
SW15 6TR,705000,523310.0,175286.0
SW14 7AY,590000,520286.0,175281.0
SE10 9FF,125000,537858.0,177791.0
SE16 4UH,625000,534136.0,179783.0
SE10 9GE,780000,537750.0,177861.0
SE3 7RQ,575000,539687.0,177744.0
SE10 8FS,875000,537636.0,176868.0
SW12 0PQ,625000,529108.0,173131.0
SW2 4QS,340000,530217.0,173414.0
SE22 9AN,405000,534036.0,175326.0
SE7 7UD,280000,540729.0,178131.0
SE4 2FA,460000,536476.0,175777.0
SW17 9LL,420000,527308.0,170829.0
SW18 1AG,590000,525460.0,175091.0
SE15 2FD,100000,534717.0,176848.0
SW8 1BG,885000,530286.0,177625.0
SW9 9QR,445000,530641.0,175879.0
SE18 4JY,292000,542383.0,176740.0
SW2 3SJ,325000,530598.0,173094.0
SW12 8RA,485000,528415.0,173608.0
SE18 3AG,272000,544299.0,177565.0
SE5 7LE,420000,532596.0,177124.0
SW8 1BG,835000,530286.0,177625.0
SE13 5NL,335000,539130.0,174482.0
SW9 6EX,560000,531559.0,177198.0
SE13 6DJ,250000,538378.0,175158.0
SW2 4SU,277500,530459.0,173217.0
SE3 9RA,490000,539806.0,176008.0
SE26 6DP,300000,535160.0,171221.0
SE10 8AT,424000,538503.0,176540.0
SE15 2NX,421500,535157.0,176834.0
SW17 7HR,675000,527522.0,173097.0
SW9 7JG,620000,531576.0,175611.0
SW11 8NJ,415000,528688.0,177523.0
SE18 3TQ,185500,543772.0,177876.0
SE28 0GY,432000,544946.0,180080.0
SW8 2JB,295000,530189.0,177911.0
SE18 6PP,307000,544141.0,179396.0
SE18 3PP,290000,543693.0,177620.0
SW9 9BP,780000,530255.0,176097.0
SE22 0AH,450000,534524.0,173407.0
SE6 1BB,220000,540030.0,172827.0
SE1 0FW,7510000,531794.0,180211.0
SW17 0RS,475000,527267.0,171344.0
SE27 0QF,190000,531706.0,171229.0
E13 9AR,20000,541251.0,183918.0
SE14 6LA,30000,536684.0,177063.0
SE10 0GE,95000,539837.0,179368.0
SE5 7AF,185000,532506.0,176796.0
SE27 9HS,165000,531892.0,172469.0
SW18 4TT,245393,525614.0,174610.0
SW11 7AY,1401350,529926.0,177547.0
SW11 7EL,1354100,529926.0,177547.0
SE16 7FQ,400000,536506.0,178890.0
SW11 8DL,5185000,528988.0,177356.0
SW11 8BS,490000,528955.0,177315.0
SW11 3QF,790000,526820.0,176147.0
SW11 8DP,7725000,528988.0,177356.0
SE1 2AN,1000000,533932.0,179446.0
SE22 8EW,35000,533835.0,175187.0
SE11 5HY,300000,530650.0,178073.0
E16 3JR,216000,541157.0,181410.0
SE6 4RE,1630000,537385.0,173593.0
SE26 4PB,820000,535771.0,171642.0
SE19 2XE,620000,533804.0,170122.0
N3 1XE,2900000,525255.0,190896.0
N10 3QS,25000,528736.0,189457.0
W2 2TP,1150000,526878.0,181067.0
NW3 4UR,2600000,527344.0,184734.0
W4 4NL,11385387,520453.0,177992.0
NW11 0JD,2200000,524482.0,188762.0
N12 7NN,3621555,526155.0,192098.0
N17 0DY,3050000,534314.0,191583.0
NW9 0RD,645000,519673.0,189600.0
W5 1EN,1755000,518484.0,182182.0
NW10 2UW,4902029,521437.0,185533.0
NW9 8BS,360000,520773.0,187921.0
N4 1RU,1115000,531485.0,188161.0
SW16 6DG,194000,529339.0,170653.0
SE27 9HU,195000,531875.0,172582.0
SW16 5PS,265000,529567.0,169440.0
SW19 2FQ,587500,526050.0,169952.0
SW19 1FW,450000,526504.0,170471.0
SW19 1FW,835000,526504.0,170471.0
SW19 1FW,450000,526504.0,170471.0
SW19 1FW,457500,526504.0,170471.0
SW19 1FW,452500,526504.0,170471.0
SW19 1FW,637500,526504.0,170471.0
SW19 1FW,450000,526504.0,170471.0
SW19 1FW,465000,526504.0,170471.0
SE2 9FB,283200,547376.0,179722.0
SE2 9FJ,336000,547429.0,179838.0
